Application Date,Planned Completion Date,Facility Name,Facility Owner,Operation Type,Permit Number,Project Type,School Address,School Level,School Name,School Website,Status,URL,Description,Planned Start Date
1/6/17,1/13/17,MEADE ES,,Emergency Renovation,AN17-000014,Minor Removal Project,,Elementary/Middle,General George G. Meade School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76850011&permit_ID=3494481,MEADE ES - REM 28 LF ACPI IN BASEMENT OLD WING HALL NEAR BOY'S RESTROOM.,1/6/17
1/6/17,1/6/17,MCCLURE ES,,Emergency Renovation,AN17-000017,Minor Removal Project,,Elementary,Alexander K. McClure School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76850280&permit_ID=3494682,MCCLURE ES - REM 15 LF ACPI IN PRINCIPALS OFFICE.,1/6/17
1/6/20,3/15/20,LEA ES,,Renovation,AN20-000009,Minor Removal Project,,Elementary/Middle,Henry C. Lea School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81250913&permit_ID=6769953,"LEA ES - REM <1 LF ACPFI IN L-8, CAP <1 LF ACPFI IN L-WING MAIN HALL BY L-6, CAP 1 LF ACPFI IN REAR ENTRANCE FOYER IN L-WING, CAP <1 LF ACPFI IN L-6, CAP <1 LF ACPFI IN OFFICE NEXT TO L-6.",3/6/20
1/6/21,1/12/21,BARTRAM HS,,Renovation,AN21-000019,Minor Removal Project,,High,John Bartram High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82908124&permit_ID=7917051,BARTRAM HS - REM 5 LF ACPI & 1 SF OF DEBRIS IN EMERGENCY GENERATOR ROOM B WING,1/8/21
1/6/21,2/6/21,FOX CHASE ES,,Renovation,AN21-000016,Major Removal Project,,Elementary,Fox Chase School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82907897&permit_ID=7916870,"FOX CHASE ES - REM 45 LF ACPI (4 RISERS-4 SEPARATE AREAS) AND 40 SF OF VAT (BY WATER FOUNTAIN IN GYM, REM 20 SF OF DEBRIS IN GYM FAN ROOM 019D, CAP 1 LF ACPI IN TEACHER DOUNGE, REM 3 LF ACPFI IN KITCHEN CUSTODIAL CLOSET, 13 LF ACPI/ACPFI IN C1 SPECIAL ED LEFT STORAGE ROOM, REM 1 LF ACPFI IN 1ST FLOOR BOY'S ROOM PC, 1 LF ACPFI IN 1ST FLOOR GIRL'S RR PC, 1 LF ACPFI IN 2ND FLOOR BOY'S RR PC, 1 LF ACPFI IN 2ND FLOOR GIRL'S RR PC, 4 SF OF VAT IN BASEMENT GYM HALLWAY, 23 SF OF VAT IN BASEMETN HALL NEX",1/5/21
1/6/21,1/29/21,Joseph H. Brown School,,Renovation,AN21-000017,Major Removal Project,,Elementary,Joseph H. Brown School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82907866&permit_ID=7916941,ACPFI & ACPI,1/8/21
1/7/16,1/29/16,WD Kelley ES,,Renovation,AN16-000027,Minor Removal Project,,Elementary/Middle,William D. Kelley School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75435219&permit_ID=2542202,Revise end date to 01/29/16,12/16/15
1/7/16,1/15/16,Lamberton ES,,Renovation,AN16-000033,Incidental Removal Project,,Elementary/Middle,Robert E. Lamberton School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75434991&permit_ID=2542389,Revision - Completion Date - 01/15/16,12/16/15
1/7/16,1/15/16,nebinger es,,Renovation,AN16-000035,Minor Removal Project,,Elementary/Middle,George W. Nebinger School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75435188&permit_ID=2542407,REVISION - COMPLETION DATE 01/15/16,12/16/15
1/7/16,1/15/16,Feltonville Intermediate,,Renovation,AN16-000041,Minor Removal Project,,Elementary,Feltonville Intermediate School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75378707&permit_ID=2542467,Revision - Extend Completion date to 01/15/16,11/20/15
1/7/16,1/15/16,FURNESS HS,,Renovation,AN16-000044,Incidental Removal Project,,High,Furness High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75484250&permit_ID=2542491,FURNESS HS - REM 1 LF ACPI IN BE STORAGE ROOM IN OVERHEAD NEAR LOUVER.,1/8/16
1/7/16,1/15/16,MCMICHAEL ES,,Renovation,AN16-000043,Minor Removal Project,,Elementary/Middle,Morton McMichael School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75438025&permit_ID=2542480,Revision - add REM 60 SF of VAT in 3rd Floor Hall by Girls Room.,12/18/15
1/7/16,1/15/16,PALUMBO ACADEMY HS,,Renovation,AN16-000042,Incidental Removal Project,,High,Academy at Palumbo,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75484202&permit_ID=2542470,PALUMBO ACADEMY HS - CAP 2 LF ACPI & <1 LF ACPFI IN IMC OFFICE - ROOM 409A & CAP 1 LF ACPI IN ROOM 201 - EXERCISE ROOM.,1/8/16
1/8/16,1/15/16,HARTRANFT ES,,Renovation,AN16-000047,Minor Removal Project,,Elementary/Middle,John F. Hartranft School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75438034&permit_ID=2542789,"HARTRANFT ES - REVISION - CHANGED REM 15 SF VAT TO 50 SF VAT IN RM 114, ADD REM 40 SF VAT IN RM 104, REM 1 SF VAT IN RM 106 & REM 40 SF VAT IN RM 107.",12/18/15
1/8/16,2/5/16,J B KELLY ES,,Renovation,AN16-000053,Minor Removal Project,,Elementary,John B. Kelly School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75398710&permit_ID=2542989,JB KELLY ES - REVISION - COMPLETION DATE 02/05/16,12/1/15
1/8/16,2/5/16,ELKIN ES,,Renovation,AN16-000051,Minor Removal Project,,Elementary,Lewis Elkin School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75485228&permit_ID=2542916,"ELKIN ES - REM 340 SF VAT IN RM 116, REM 100 SF VAT IN HALLWAY OUTSIDE RM 116, REM 1440 SF OV VAT IN ART ROOM, REM 295 SF VAT IN HALLWAY OUTSIDE ART ROOM & 50 SF VAT IN NURSES OFFICE.",1/11/16
1/8/16,2/5/16,PATTERSON ES,,Renovation,AN16-000049,Small Removal Project,,Elementary,John M. Patterson School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75485105&permit_ID=2542827,"PATTERSON ES - CAP 1 LF ACPI IN BOIER ROOM 001B, REM 5 SF VAT IN ROOM 108 NEAR SINK, CAP <1 LF ACPFI IN S01A STAIRWELL EXIT.",1/11/16
1/8/16,1/6/16,BLAINE ES,,Emergency Renovation,AN16-000048,Incidental Removal Project,,Elementary/Middle,James G. Blaine School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75485067&permit_ID=2542800,BLAINE ES - REM 2 LF ACPI & <1 LF ACPIF IN 1ST FLOOR PRINCIPAL STORAGE ROOM.,1/6/16
1/8/16,2/5/16,PRATT EARLY CHILDHOOD CENTER,,Renovation,AN16-000046,Incidental Removal Project,,Elementary,Anna B. Pratt School (Closed),,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75485044&permit_ID=2542779,"PRATT EARLY CHILDHOOD CENTER - CAP 1 LF ACPI IN RM 102 RESTROOM, REM 2 LF ACPI IN NEW BOILER ROOM, CAP <1 LF ACPFI & 1 LF ACPI IN OLD BOILER ROOM, CAP <1 LF ACPFI IN RM 208, CAP <1 LF ACPIF IN RM 206, CAP <1 LF ACPFI IN RM 204, CAP <1 LF ACPFI IN RM 203, CAP <1 LF ACPFI IN RM 201, CAP <1 LF ACPFI IN 1ST FLOOR WOMENS ROOM, CAP 1 LF ACPFI IN 1ST FLOOR GIRLS ROOM.",1/11/16
1/8/19,2/1/19,L.P. HILL,,Renovation,AN19-000020,Non Friable Removal,,High,Strawberry Mansion High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79065052&permit_ID=4937189,"L. P. HILL SCHOOL - REM 370 SF OF VAT IN 1ST FLOOR HALL BY ELEVATOR, REM 912 SF OF VAT IN 104.",1/9/19
1/8/21,2/19/21,Henry Houston Elementary School,,Renovation,AN21-000027,Major Removal Project,,Elementary/Middle,Henry H. Houston School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82912167&permit_ID=7919599,Removal and Encapsulation of ACPI on 2nd & 3rd floors,1/11/21
1/9/18,2/16/18,FELL ES,,Renovation,AN18-000033,Minor Removal Project,,Elementary/Middle,D. Newlin Fell School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77783102&permit_ID=4038811,"FELL ES - CAP <1 LF ACPI IN MAIN GYM AREA, REM 16 LF ACPI & 5 LF ACPFI IN BASEMENT SE FOYER, CAP 15 LF (15 LOCATIONS 1 LF EACH) & 2 SF OF BOILER SECTIONS IN BASEMENT EMERGENCY GENERATOR/STORAGE ROOM, REM 16 LF ACPI & 4 LF ACPFI IN BASEMENT SW FOYER, 14 LF ACPI & 4 LF ACPFI IN BASEMENT NW FOYER BY RM 3, 15 LF ACPI & 4 LF ACPFI IN BASEMENT NE FOYER, CAP 1 LF ACPI IN ATTIC TANK ROOM, REM 34 LF ACPI & 4 LF ACPFI IN BOIELR ROOM, 20 LF ACPI & 3 LF ACPFI IN GAS MAIN/STORAGE ROOM, 25 LF ACPI & 5 LF ACPF",1/11/18
1/9/19,1/25/19,POTTER THOMAS ES,,Renovation,AN19-000028,Non Friable Removal,,Elementary/Middle,Potter-Thomas School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79067414&permit_ID=4938530,POTTER THOMAS ES - REM 486 SF OF VAT IN 1ST FLOOR STAIR 4.,1/10/19
1/10/19,1/25/19,JH MOORE ES,,Renovation,AN19-000036,Small Removal Project,,Elementary,J. Hampton Moore School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79069383&permit_ID=4939738,JH MOORE ES - REM 2 LF ACPI IN CRAWLSPACE BELOW STAIRWELL 4.,1/11/19
1/10/19,2/15/19,PARKWAY CENTER CITY AT FLEISHER,,Renovation,AN19-000034,Major Removal Project,,High,Parkway Center City Middle College High School,,Final Documentation Overd,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79069148&permit_ID=4939581,"PARKWAY CENTER CITY MIDDLE COLLEGE AT FLEISHER - REM 10 SF OF VAT IN LUNCH DIRECTORS OFFICE, 18 LF ACPI IN 502, ""24"" LF ACPI IN 501, 18 LF ACPI IN 5TH FLOOR HALL NEXT TO 501, 12 LF ACPI IN BE OFFICE, 10 LF ACPI IN STAIRS NEXT TO 103 OFFICES, CAP 3 LF ACPI IN CLASSROOM LEFT OF MAIN ENTRANCE FOYER DOORS, 18 LF ACPI IN 401, 18 LF ACPI IN 303A, 18 LF ACPI IN 306, 18 LF ACPI IN 201 COUNSELOR OFFICE (2ND FROM LEFT).",1/11/19
1/10/19,3/1/19,LOESCHE ES,,Renovation,AN19-000030,Minor Removal Project,,Elementary,William H. Loesche School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79068770&permit_ID=4939322,"LOESCHE ES - REM 6 SF OF VAT IN HALL BY MAIN OFFICE/AUDITOIRUM/GYM, 5 SF OF VAT IN HALL OUTSIDE B8, REM 1 LF ACPFI IN SECURED STORAGE ROOM ADJACENT IMC IN HALL, 20 LF ACPI IN HALL BY LIBRARY 188B, 4 SF OF VAT IN 2ND FLOOR HALL OUTSIDE BOY/GIRL RR, ""REM 2 LF ACPFI in Hallway outside Kitchen"".",2/1/19
1/10/19,2/1/19,PHILADELPHIA MILITARY ACADEMY @ ELVERSON HS,,Renovation,AN19-000029,Minor Removal Project,,High,Philadelphia Military Academy,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79068623&permit_ID=4939210,"PHILADELPHIA MILITARY ACADEMY AT ELVERSON HS -CAP <1 LF ACPI IN OFFICE ADJ 307, <1 LF ACPI IN 207, <1 LF ACPI IN 208, 10 SF OF RADIATOR INSULATION IN AUDITORIUM, 1 LF ACPI IN CUSTODIAL STORAGE ROOM WITH TOILET, REM 1 LF ACPI (PIPE1), CAP 1 LF ACPI PIPE 2, CAP 1 LF ACPI PIPE 3 IN BASEMENT HALLWAY & STAIRS OUTSIDE GYM, REM 1 SF OF DEBRIS IN STORAGE ROOM ADJ GIRLS RR PC, REM 1 LF ACPI IN STORAGE ROOM ADJ STAFF LOUNGE, REM 1 LF ACPFI IN HALL OUTSIDE 111-114.",1/11/19
1/11/17,4/14/17,CASSIDY ES,,Renovation,AN17-000037,Major Removal Project,,Elementary/Middle,Lewis C. Cassidy Academics Plus School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76856074&permit_ID=3497335,"CASSIDY ES - REM 35 LF ACPI IN ROOM B-8, REM 16 LF ACPI IN FAN ROOM, CAP 1 LF ACPI N BASEMENT LIBRARY & CAP <1 LF ACPFI IN BASEMENT CLASSROOM B-3, REM 14 LF ACPI in Room B8 Atwood Street Riser & 12 LF ACPI in Room B8 Closet Riser, REM 18 LF ACPI IN ROOM 302 CLOSET AND 4 LF ACPFI IN GROUND FLOOR STAIRWELL AT SCHOOL YARD, REM 21 LF ACPI & 3 LF ACPFI IN 311 CLOSET, 21 LF ACPI & 2 LF ACPFI IN 207 CLOSET, 21 LF ACPI & 2 LF ACPFI IN 202 CLOSET, 5 LF ACPI & <1 LF ACPFI IN 106 CLOSET, 10 LF ACPI & 1 LF",1/12/17
1/11/19,5/31/19,Murrell Dobbins Tech Sch,,Renovation,AN19-000041,Major Removal Project,,High,Murrell Dobbins Career and Technical High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79071392&permit_ID=4940849,removal of pipe insulation adding pipe insulation to the notice,1/24/19
1/11/19,1/25/19,TAGGART ES,,Renovation,AN19-000039,Non Friable Removal,,Elementary/Middle,John H. Taggart School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79071296&permit_ID=4940784,TAGGART ES - REM 32 SF OF GLUE DOTS IN ROOM 101.,1/14/19
1/11/19,1/12/19,SHARSWOOD ES,,Emergency Renovation,AN19-000040,Minor Removal Project,,Elementary/Middle,George W. Sharswood School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=79071364&permit_ID=4940828,"SHARSWOOD ES - REM 8 LF ACPI IN BE OFFICE, REM 2 LF ACPI IN FAN ROOM NORTH SIDE.",1/11/19
1/12/17,1/27/17,BEEBER MS,,Renovation,AN17-000044,Minor Removal Project,,Middle/High,The Science Leadership Academy at Beeber,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76857666&permit_ID=3498249,BEEBER MS - REM 10 LF ACPI IN BOY'S GYM.,1/13/17
1/12/17,1/27/17,HARRINGTON ES,,Renovation,AN17-000045,Minor Removal Project,,Elementary/Middle,Avery D. Harrington School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76857695&permit_ID=3498266,HARRINGTON ES - REM 16 LF ACPI IN GYM/LUNCHROOM STORAGE (NORTH SIDE).,1/13/17
1/12/17,6/2/17,STEARNE ES,,Renovation,AN17-000043,Major Removal Project,,Elementary/Middle,Allen M. Stearne School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76857636&permit_ID=3498229,"STEARNE ES - REM 38 LF ACPI IN 2ND FLOOR MECHANICAL ROOM, REM 24 SF of VAT in Room 201 by univent, ""REM 10 lf ACPFI and ""1 sf"" of debris in crawlspace"".",5/15/17
1/12/18,2/6/18,NORTHEAST HS & FIELD HOUSE,,Renovation,AN18-000046,Minor Removal Project,,High,Northeast High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77794467&permit_ID=4047646,"NORTHEAST HS & FIELD HOUSE: CAP 1 LF ACPFI IN FIELD HOUSE BOY'S WEIGHT ROOM 23, CAP 3 LF ACPFI & 4 SF OF TANK INSULATION IN BOILER ROOM, <1 LF ACPFI IN COAL/AS ROOM, REM 2 SF OF VDC IN ENTRANCE HALL TO GIRL LOCKER ROOM, 1 SF OF VAT IN COACHES LOCKER ROOM, CAP <1 LF ACPFI IN SOCCER & LACROSSE LOCKER ROOM, REM 2 SF OF TRANSITE PANELS IN VISITOR STADIUM STANDS, CAP <1 LF ACPFI IN MAINTENANCE CLOSET ADJ APPRECIATE AVE SIGN, <1 LF ACPFI IN GLENDALE AVE HALL, CAP 1 LF ACPFI & 2 LF ACPI IN FOOD STORAG",1/16/18
1/13/20,1/13/20,HOPKINSON ES,,Renovation,AN20-000036,Incidental Removal Project,,Elementary/Middle,Francis Hopkinson School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81263361&permit_ID=6777162,HOPKINSON ES - CAP 1 LF ACPI IN CLASSROOM 202.,1/13/20
1/13/21,1/13/21,DUCKREY ES,,Renovation,AN21-000049,Incidental Removal Project,,Elementary/Middle,Tanner G. Duckrey School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82931844&permit_ID=7926429,DUCKREY ES - REM <1 LF ACPFI IN 1ST FLOOR HALL H110 OUTSIDE MEN'S RESTROOM.,1/13/21
1/14/16,2/5/16,NEBINGER ES,,Renovation,AN16-000082,Minor Removal Project,,Elementary/Middle,George W. Nebinger School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75435188&permit_ID=2623756,NEBINGER ES - REVISION - START & COMPLETION DATES - 01/15/16 - 02/05/16.,1/15/16
1/14/16,2/5/16,FURNESS HS,,Renovation,AN16-000084,Incidental Removal Project,,High,Furness High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75484250&permit_ID=2623765,FURNESS HS - REVISION - START & COMPLETION DATES - 01/15/16 - 02/05/16,1/15/16
1/14/16,12/16/16,HESTON ES,,Renovation,AN16-000085,Minor Removal Project,,Elementary/Middle,Edward Heston School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75570113&permit_ID=2623771,HESTON ES - REM 3 SF OF ROPE & 3 SF OF PACKING FROM BOILER #1 & REM 2 SF OF VAT IN MAIN OFFICE BY SECRETARY DESK.,1/15/16
1/15/16,1/4/16,James Rhoads School,,Emergency Renovation,AN16-000099,Minor Removal Project,,Elementary/Middle,James Rhoads School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75571152&permit_ID=2624202,fri pipe fittings 3rd Fl Nurse Office Bathroom Pipe chase,12/29/15
1/15/16,1/15/16,FARRELL ES,,Renovation,AN16-000096,Minor Removal Project,,Elementary/Middle,Louis H. Farrell School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=75443715&permit_ID=2624186,FARRELL ES - REVISION - ADD REM 1 LF ACPFI IN AUDITORIUM STAGE CEILING.,12/28/15
